latitude,longitude,x,y,distance from center,rents,number of rents
55.65604150779653,12.532133404349382,5294473.4627688285,1809459.4950040753,5992.495306631284,[13662173],1
55.660221988589214,12.531364643604997,5295073.4627688285,1809459.4950040753,5840.37670017936,[0],0
55.66440219225735,12.530595863406656,5295673.4627688285,1809459.4950040753,5747.173218200227,[0],0
55.66858211879791,12.529827063771835,5296273.4627688285,1809459.4950040753,5715.7676649771165,"[1891808, 28650474]",2
55.67276176820783,12.529058244718021,5296873.4627688285,1809459.4950040753,5747.173218200227,[0],0
55.67694114048407,12.528289406262669,5297473.4627688285,1809459.4950040753,5840.37670017936,[45576954],1
55.6811202356236,12.52752054842327,5298073.4627688285,1809459.4950040753,5992.495306631284,"[12143439, 15593142, 16892167, 38481278, 41080457, 41736734]",6
55.65044800329923,12.536843787421288,5293573.4627688285,1809979.1102463459,5855.7663887829085,"[4690553, 24234369, 37469229]",3
55.6546289149068,12.536074830856133,5294173.4627688285,1809979.1102463459,5604.462507680789,"[1582799, 1848679, 4919358, 5914912, 13194503, 13948943, 14344532, 19657416, 21238447, 23620883, 25569978, 26113199, 28749082, 31166504, 33161883, 33712293, 34935940, 35272576, 37351407, 37394076, 41057543, 41287103]",22
55.65880954937899,12.535305854806394,5294773.4627688285,1809979.1102463459,5408.32691319595,"[22579387, 30935512, 37796203, 41606278]",4
55.66298990671275,12.534536859289556,5295373.4627688285,1809979.1102463459,5273.518749374049,"[24816692, 42508423, 43338450]",3
55.66716998690501,12.533767844323108,5295973.4627688285,1809979.1102463459,5204.8054718692065,"[604254, 11853858, 34087027, 37288225, 42358426]",5
55.671349789952735,12.532998809924528,5296573.4627688285,1809979.1102463459,5204.8054718692065,"[1205386, 1335948, 1349276, 6885389, 8396926, 12878581, 13276961, 36045205, 36781822]",9
55.67552931585288,12.532229756111303,5297173.4627688285,1809979.1102463459,5273.518749374049,"[1094502, 5783060, 16127663, 17682765, 26895700, 35856476, 42349446]",7
55.679708564602414,12.5314606829009,5297773.4627688285,1809979.1102463459,5408.32691319595,"[862862, 2053949, 14396397, 24106838, 33191527, 35897125, 36460710, 40247841]",8
55.683887536198306,12.5306915903108,5298373.4627688285,1809979.1102463459,5604.462507680789,"[655146, 4697213, 5125512, 10404200, 12997812, 14888189, 15251186, 24168717, 24790719, 25024544, 25795163, 26094165, 29675299, 34441415, 35373367, 36109943, 36748015, 43167431, 44022664, 44604688, 45328789, 45887963]",22
55.68806623063753,12.529922478358474,5298973.4627688285,1809979.1102463459,5855.7663887829085,"[1162390, 2323747, 2894537, 3228691, 3474327, 3893913, 6942666, 6994656, 7068667, 12487263, 16627202, 23988750, 25362318, 26330794, 27605103, 31369402, 32118160, 35815597, 36130831, 36664680, 39263296, 40335467, 40557308, 41143836, 41828929, 42186492, 43896613, 48179453]",28
55.64485403767535,12.541554764861006,5292673.4627688285,1810498.7254886166,5901.694671871702,[41715572],1
55.64903538013953,12.54078561252401,5293273.4627688285,1810498.7254886166,5556.077753235535,[0],0
55.65321644545748,12.54001644067177,5293873.4627688285,1810498.7254886166,5256.424640380458,"[2931982, 25907613, 32735210, 36665910, 36747781, 43553133, 43687636]",7
55.65739723362616,12.539247249321802,5294473.4627688285,1810498.7254886166,5010.987926546903,"[6724434, 24612519, 24762250, 24867387, 30704212, 35693463, 35693472, 37760450, 45197922, 45522651]",10
55.661577744642486,12.538478038491588,5295073.4627688285,1810498.7254886166,4828.043081829203,"[5909603, 14736665]",2
55.665757978503414,12.537708808198618,5295673.4627688285,1810498.7254886166,4714.870093650389,"[646208, 1335834, 3140649, 11650610, 15531073, 25411342, 25428288, 31190767, 33803630, 38966772, 39997401, 43454129, 44026551, 45086180, 47419174]",15
55.6699379352059,12.536939558460382,5296273.4627688285,1810498.7254886166,4676.537180435844,"[444974, 6980594, 6995737, 7731521, 11357993, 16867178, 18308867, 18474104, 19561679, 27478136, 29232727, 29627657, 33676437, 34240455, 35765195, 38844661, 42448740, 43160218]",18
55.6741176147469,12.536170289294379,5296873.4627688285,1810498.7254886166,4714.870093650389,"[4322827, 6594321, 9499979, 11945965, 19428882, 23786991, 25103794, 28624823, 29129125, 34633440, 35836710, 37480944, 44059005, 44853423]",14
55.67829701712335,12.535401000718071,5297473.4627688285,1810498.7254886166,4828.043081829203,"[1152624, 1485924, 3151652, 10776865, 11460434, 13387468, 13590750, 13710505, 15348615, 18911044, 19115574, 19135006, 19136224, 19143595, 19577106, 21348400, 23779547, 24882192, 38579862, 43072818, 43073032, 43073376, 45935202, 46718112, 48193117]",25
55.68247614233227,12.534631692748956,5298073.4627688285,1810498.7254886166,5010.987926546903,"[459719, 678070, 1343522, 2054312, 2833793, 4268440, 6343215, 6440250, 10761153, 12079287, 12596926, 14610294, 15446308, 16878297, 17551486, 17966608, 20825540, 22982530, 24941415, 25612373, 26646859, 26870042, 27179407, 28899575, 29248812, 34971657, 37560758, 40084755, 41902799, 42145760, 42835073, 43822485, 46257141, 46431523]",34
55.686654990370606,12.533862365404506,5298673.4627688285,1810498.7254886166,5256.424640380458,"[69440, 154529, 1373721, 3517266, 5350998, 6534909, 7250850, 10004801, 12510490, 13638417, 14589954, 15490405, 18038824, 19202099, 19409984, 19621089, 23479272, 25314010, 29579207, 30118874, 30582942, 31215373, 32214259, 33236648, 34084458, 34712570, 36632719, 37176179, 37643000, 39519552, 43956177, 43983726, 44605294, 44607828, 45310125]",35
55.69083356123534,12.53309301870219,5299273.4627688285,1810498.7254886166,5556.077753235535,"[1722815, 3078821, 7728902, 11278198, 15548678, 16712804, 17362284, 18389076, 19152005, 19582694, 19843061, 22318282, 22955442, 24939210, 25200915, 27349431, 32558456, 36965158, 39376997, 42265529, 43776513, 43916532, 44085071, 46304888]",24
55.69501185492348,12.532323652659489,5299873.4627688285,1810498.7254886166,5901.694671871702,"[3249158, 3316790, 3397700, 8527630, 9539627, 13756372, 17337761, 19030871, 20045504, 21106546, 28404042, 39284065, 46000615]",13
55.64344138419475,12.54549698852452,5292373.4627688285,1811018.3407308871,5700.000000000014,[45100978],1
55.64762288040022,12.544727620918732,5292973.4627688285,1811018.3407308871,5307.5418038862545,"[14778763, 17726359, 26743411]",3
55.65180409944554,12.543958233784549,5293573.4627688285,1811018.3407308871,4956.813492557507,"[2937773, 11112867, 12422371, 13279240, 15208812, 20429252, 26056264, 27362156, 31682837, 38455539, 39827989, 44114537]",12
55.65598504132766,12.543188827139467,5294173.4627688285,1811018.3407308871,4657.252408878024,[0],0
55.660165706043536,12.542419401000988,5294773.4627688285,1811018.3407308871,4419.275958796888,[0],0
55.66434609359009,12.541649955386616,5295373.4627688285,1811018.3407308871,4253.234063627366,"[1087735, 2718769, 2813447, 2860499, 3465989, 3989926, 4145869, 5450216, 5483761, 5984123, 6462589, 7240123, 10363803, 12787629, 13598972, 18249670, 19823550, 20596830, 28889419, 30265606, 30549031, 36249438, 37653914, 40410161, 43799672, 43881775, 45681813, 47752306]",28
55.66852620396428,12.540880490313837,5295973.4627688285,1811018.3407308871,4167.73319683496,"[279685, 487549, 1402312, 2821219, 2873656, 3269458, 3280497, 3378645, 7347043, 7673680, 7803676, 10461863, 11883327, 13697490, 13779086, 14764346, 16081665, 19995819, 22188822, 22695408, 23520246, 25258342, 26745504, 30040575, 30713414, 31440718, 32234782, 32325927, 34019767, 35346809, 35676324, 35762532, 36468093, 38843565, 39337362, 39827809, 41334436, 43525727, 43881333, 43977749, 44424799, 44717186, 45075583, 45146502, 45660942, 46082766]",46
